評論者,星等,評論內容
Wendy Wen,4,"第一次來，點了店內推薦的「餐肉蛋豬排飯」
第一口米飯，粒粒分明，外Q內軟，咬下去很彈牙，愈嚼愈香；第二口是有半熟荷包蛋蛋黃與醬油淋在上面的米飯，這就是兒時記憶的味道。豬排有咖哩薑黃味，外脆內軟，好吃，我真的超愛港式豬扒。餐肉就是火腿片，因有些厚度故可煎到外脆內軟，但因有腥味又偏鹹，所以我不愛這個！
鴛鴦奶茶，味道比記憶中略淡些，但仍喝得到茶甘味。
整體算滿意，所以會再來試試其他餐點。用餐時段會排隊和併桌，所以中午早點來或13:30後再來，中午14:30有休息喔。"
楊舒惠,4,"當天跟友人去吃
晚餐時段人蠻多的但等候時間不會太長
點餐後很快就上菜
我們其實覺得每道都滿好吃的
但是旁邊的人吃完他們會開始掃地清潔
讓人觀感不太好😓
若你會在意這些建議外帶"
CH Purple,3,"喜歡⭐️澄汁雞排飯，雞排軟嫩酥脆，完全可以單點一份沒問題
➡️蝦米煎腸粉 、鮮肉腐皮捲 、沙茶海鮮公仔麵 、鹹魚雞粒炒飯都不錯
蘿蔔糕好似容易完售？
基本上餐點都很港味蠻好吃的
服務人員也蠻接地氣

🆖搬家後座位安排不佳，兩人用餐幾乎是要坐四人位併桌，沒有區隔或隔板，真的很尬❎❎...是覺得併桌可以但是給ㄧ點距離和空間好嗎大佬？

用餐時間人很多要排隊"
王儷蓉,4,看到網路推薦，來踩點！服務人員很親切，環境舒服乾淨，早餐肉豬排飯好吃，火候控制很好，有火味👍。XO 醬炒蘿蔔糕，醬非常少所以沒有太強了的XO 醬的味道，有一點可惜。
小林,4,"餐點：
在永康街商圈附近，香港人營業的店，會來跟客人點餐，餐點都不錯吃～

環境：整潔

停車：機車 汽車不太好停

支付方式：現金

排隊：1700準時進場不用排"
Alili,4,"普通 腐皮卷不喜歡 炒飯還可以 味道偏淡
XO醬炒蘿蔔糕 完全吃不出XO醬的香氣 蘿蔔糕是不錯 很大塊 菠蘿油也蠻好吃"
Sherry Huang,5,"滑蛋燴飯還好
橙花雞排很好吃！
法蘭西多士-不錯下次想點沒有花生的試試看~"
yt Yin,5,"公仔湯麵體Q彈、湯頭夠味；三文治外酥內軟、雞蛋夾層口感柔嫩；炸豬排也是麵衣薄脆，只是豬肉未經過多調味會有點膩口。

可以參考牆面套餐組合～搭配飲料或例湯"
艾瑪花生,3,"調味適中，油脂豐富
西多士本身是用植物油炸的，味道吃起來有點突兀。腐皮卷內餡是好吃的，有點油。鹹魚雞粒炒飯沒感覺到鹹魚，調味清淡偏油。蘿蔔糕好吃，有蝦米，蘿蔔含量比較多偏軟，煎得很油。適合身體強健的人，太油了。"
Lay lee,4,整間店濃厚港味，除了店員，甚至幾桌客人也是香港人，裝潢乾乾淨淨，但人多就有可能會跟其他客人併桌，食物好吃又不貴，推！
WenJ,1,"總結：有給星是因為餐點中規中舉還算不錯
但只吃沒多久就趕客人，讓我想給負分

假日大概晚上6：50和家人來吃
蠻熱門的，店門口店員依照兩位三位分流排隊算是蠻聰明的做法

大概7點初入店
餐點是自有一格的港式
像是腐皮皮很薄
港式奶茶加糖也蠻好喝的
豬扒包很大份
餐肉煎蛋飯很香
橙汁炸雞腿 的橙汁很好吃
就在心想下次來還要試試其他餐點時

店員收吃完的餐點
開始給壓力要讓桌給後面客人
奶茶還沒喝完，其中一個男店員邊擦桌子然後直接說指說後面還有客人
接著另一個女店員更扯，直接放下一組的四杯開水跟新的點餐單到我們桌上。（如圖）

我們食物是已經吃完
但仍有剩飲料還沒喝完
就算冷靜下來想，
我們此時7：37分，我們也才用餐30多分鐘
而且隔壁桌在我們入座點餐前已經開始吃，即使有我們不知道的用餐時間限制，也該跟所有時間到的桌次提醒。總不會慢慢吃就可以賴著，吃的快的想聊天的反而被趕走。
完全無法理解這種趕客人的想法是怎麼冒出來的

如果有用餐時間限制要明寫吧

總結：有給星是因為餐點中規中舉還算不錯
但只吃沒多久就趕客人，讓我想給負分
既然喜歡趕客人，那我們這家人跟朋友就被你趕走以後不會再來了。
仍祝福店家生意興隆"
